Cryptocurrency,Ranking,Precio (USD),Capitalización de Mercado (USD),Volumen en 24h (USD)
Ethereum,2,1664.0,200034453015,4948646923
Bitcoin,1,26059.0,507015711061,7211611616
Cardano,8,0.259652,9106582235,171062420
Tether,3,1.001,82799501314,10724583668
Binancecoin,4,209.14,32193876663,600632619
Dogecoin,9,0.063076,8873318867,280289405
Usd-coin,6,1.001,25942502157,2515327662
Solana,10,20.95,8539192782,298419722
Tether-gold,79,1921.2,473354594,5375756
Tron,11,0.074921,6698268100,165021930
