timestamp,bitcoin
2022-08-28,20838.69
2022-09-04,19958.14
2022-09-11,20042.23
2022-09-18,20588.37
2022-09-25,19159.04
2022-10-02,19277.92
2022-10-09,19716.76
2022-10-16,19208.19
2022-10-23,19245.91
2022-10-30,20204.5
2022-11-06,20630.76
2022-11-13,18183.24
2022-11-20,16672.6
2022-11-27,16353.53
2022-12-04,16755.83
2022-12-11,17081.49
2022-12-18,17234.59
2022-12-25,16763.77
2023-01-01,16681.73
2023-01-08,16795.19
2023-01-15,18504.44
2023-01-22,21495.82
2023-01-29,22948.83
2023-02-05,23404.56
2023-02-12,22473.66
2023-02-19,23306.31
2023-02-26,23987.87
2023-03-05,23147.03
2023-03-12,21408.57
2023-03-19,25034.29
2023-03-26,27936.42
2023-04-02,27996.28
2023-04-09,28052.86
2023-04-16,29908.55
2023-04-23,28912.68
2023-04-30,28551.87
2023-05-07,28912.11
2023-05-14,27452.27
2023-05-21,27053.34
2023-05-28,26749.61
2023-06-04,27423.95
2023-06-11,26500.93
2023-06-18,25885.7
2023-06-25,28949.69
2023-07-02,30435.47
2023-07-09,30505.22
2023-07-16,30521.17
2023-07-23,29937.85
2023-07-30,29385.8
2023-08-06,29215.08
2023-08-13,29402.89
2023-08-20,27894.21
2023-08-27,26229.98
